Country Name,Series Name,2023 [YR2023]
Afghanistan,"GDP, PPP (current international $)",..
Afghanistan,"Population, total",42239854
Africa Eastern and Southern,"GDP, PPP (current international $)",3.29625E+12
Africa Eastern and Southern,"Population, total",739108306
Africa Western and Central,"GDP, PPP (current international $)",2.70982E+12
Africa Western and Central,"Population, total",502789511
Albania,"GDP, PPP (current international $)",58750963483
Albania,"Population, total",2745972
Algeria,"GDP, PPP (current international $)",7.7654E+11
Algeria,"Population, total",45606480
American Samoa,"GDP, PPP (current international $)",..
American Samoa,"Population, total",43914
Andorra,"GDP, PPP (current international $)",5733298240
Andorra,"Population, total",80088
Angola,"GDP, PPP (current international $)",2.94961E+11
Angola,"Population, total",36684202
Antigua and Barbuda,"GDP, PPP (current international $)",2998900565
Antigua and Barbuda,"Population, total",94298
Arab World,"GDP, PPP (current international $)",8.47805E+12
Arab World,"Population, total",473272080
Argentina,"GDP, PPP (current international $)",1.3699E+12
Argentina,"Population, total",46654581
Armenia,"GDP, PPP (current international $)",64044988615
Armenia,"Population, total",2777970
Aruba,"GDP, PPP (current international $)",..
Aruba,"Population, total",106277
Australia,"GDP, PPP (current international $)",1.84112E+12
Australia,"Population, total",26638544
Austria,"GDP, PPP (current international $)",6.73526E+11
Austria,"Population, total",9132383
Azerbaijan,"GDP, PPP (current international $)",2.39521E+11
Azerbaijan,"Population, total",10112555
"Bahamas, The","GDP, PPP (current international $)",14670728026
"Bahamas, The","Population, total",412623
Bahrain,"GDP, PPP (current international $)",94846525692
Bahrain,"Population, total",1485509
Bangladesh,"GDP, PPP (current international $)",1.56795E+12
Bangladesh,"Population, total",172954319
Barbados,"GDP, PPP (current international $)",5458624997
Barbados,"Population, total",281995
Belarus,"GDP, PPP (current international $)",2.82246E+11
Belarus,"Population, total",9178298
Belgium,"GDP, PPP (current international $)",8.32972E+11
Belgium,"Population, total",11822592
Belize,"GDP, PPP (current international $)",5831789718
Belize,"Population, total",410825
Benin,"GDP, PPP (current international $)",58256355529
Benin,"Population, total",13712828
Bermuda,"GDP, PPP (current international $)",..
Bermuda,"Population, total",63489
Bhutan,"GDP, PPP (current international $)",..
Bhutan,"Population, total",787424
Bolivia,"GDP, PPP (current international $)",1.32892E+11
Bolivia,"Population, total",12388571
Bosnia and Herzegovina,"GDP, PPP (current international $)",73353464695
Bosnia and Herzegovina,"Population, total",3210847
Botswana,"GDP, PPP (current international $)",51856809571
Botswana,"Population, total",2675352
Brazil,"GDP, PPP (current international $)",4.45493E+12
Brazil,"Population, total",216422446
British Virgin Islands,"GDP, PPP (current international $)",..
British Virgin Islands,"Population, total",31538
Brunei Darussalam,"GDP, PPP (current international $)",39118736084
Brunei Darussalam,"Population, total",452524
Bulgaria,"GDP, PPP (current international $)",2.48788E+11
Bulgaria,"Population, total",6430370
Burkina Faso,"GDP, PPP (current international $)",63405458216
Burkina Faso,"Population, total",23251485
Burundi,"GDP, PPP (current international $)",12588278519
Burundi,"Population, total",13238559
Cabo Verde,"GDP, PPP (current international $)",5439764468
Cabo Verde,"Population, total",598682
Cambodia,"GDP, PPP (current international $)",95300031597
Cambodia,"Population, total",16944826
Cameroon,"GDP, PPP (current international $)",1.54127E+11
Cameroon,"Population, total",28647293
Canada,"GDP, PPP (current international $)",2.46931E+12
Canada,"Population, total",40097761
Caribbean small states,"GDP, PPP (current international $)",98750673199
Caribbean small states,"Population, total",3167738
Cayman Islands,"GDP, PPP (current international $)",..
Cayman Islands,"Population, total",69310
Central African Republic,"GDP, PPP (current international $)",6488703711
Central African Republic,"Population, total",5742315
Central Europe and the Baltics,"GDP, PPP (current international $)",4.83367E+12
Central Europe and the Baltics,"Population, total",100156608
Chad,"GDP, PPP (current international $)",35996041269
Chad,"Population, total",18278568
Channel Islands,"GDP, PPP (current international $)",..
Channel Islands,"Population, total",175346
Chile,"GDP, PPP (current international $)",6.53361E+11
Chile,"Population, total",19629590
China,"GDP, PPP (current international $)",3.46437E+13
China,"Population, total",1410710000
Colombia,"GDP, PPP (current international $)",1.12233E+12
Colombia,"Population, total",52085168
Comoros,"GDP, PPP (current international $)",3284569154
Comoros,"Population, total",852075
"Congo, Dem. Rep.","GDP, PPP (current international $)",1.70866E+11
